title,genre,tags
Interstellar,Sci-Fi,"space future AI science nasa"
The Matrix,Sci-Fi,"AI virtual reality hacker future action"
Inception,Sci-Fi,"dream mind thriller action"
Titanic,Romance,"love ship emotional drama"
Avengers Endgame,Action,"superhero marvel action battle"
John Wick,Action,"assassin gun action revenge"
The Notebook,Romance,"love emotional relationship drama"
Ex Machina,Sci-Fi,"AI robot future technology"
Doctor Strange,Fantasy,"magic multiverse superhero marvel"
Harry Potter,Fantasy,"wizard magic school adventure"
Batman Begins,Action,"batman hero dark action gotham"
Joker,Drama,"psychology crime dark emotional"
Frozen,Animation,"princess snow disney family"
Toy Story,Animation,"toys friendship fun adventure"
Parasite,Thriller,"crime family suspense korean"
3 Idiots,Comedy,"college friendship emotional education"
Dangal,Sports,"wrestling sports motivation family"
PK,Comedy,"alien satire emotional comedy"
Shutter Island,Thriller,"mystery psychology suspense crime"
The Conjuring,Horror,"ghost horror paranormal scary"
